text,label
"Government announces new education policy for students",REAL
"Scientists discover a new renewable energy source",REAL
"NASA confirms successful satellite launch",REAL
"Local hospital opens new emergency care unit",REAL
"World leaders discuss climate change solutions",REAL
"New technology helps farmers increase crop production",REAL
"Researchers develop vaccine for rare disease",REAL
"University launches scholarship program for students",REAL
"State government approves new highway project",REAL
"Medical team successfully performs complex surgery",REAL
"Weather department predicts heavy rainfall this week",REAL
"New startup creates affordable solar panels",REAL
"Scientists find evidence of water on distant planet",REAL
"City introduces electric buses for public transport",REAL
"International conference discusses renewable energy",REAL
"Aliens landed in New York yesterday",FAKE
"Drinking only coffee cures all diseases",FAKE
"Secret invisible city found under ocean",FAKE
"Time traveler predicts end of world next week",FAKE
"Celebrity reveals magic formula for immortality",FAKE
"Scientists confirm humans can live without sleep",FAKE
"Magic fruit discovered that makes people fly",FAKE
"Ancient dragon found alive in remote mountain",FAKE
"Government plans to ban oxygen usage by 2030",FAKE
"Man becomes millionaire overnight by talking to plants",FAKE
"New pill allows people to become invisible",FAKE
"Moon made entirely of cheese, experts claim",FAKE
"Researchers discover portal to another universe",FAKE
"Shark found walking on city streets",FAKE
"Robot elected president of unknown country",FAKE
