text,label
"Government announces new education policy for students",REAL
"Scientists discover a new renewable energy source",REAL
"Local hospital introduces advanced medical technology",REAL
"New highway project approved by authorities",REAL
"Researchers develop innovative water purification system",REAL
"National sports team wins international championship",REAL
"University launches scholarship program for students",REAL
"Government invests in renewable energy projects",REAL
"New technology helps farmers increase crop production",REAL
"Medical researchers find breakthrough treatment",REAL
"Aliens found living inside the moon",FAKE
"Magic pill makes people invisible instantly",FAKE
"Time traveler reveals future lottery numbers",FAKE
"Dragon spotted flying over city center",FAKE
"Secret portal discovered beneath ocean floor",FAKE
"Fake machine predicts exact future events",FAKE
"Scientists confirm chocolate cures every disease",FAKE
"Man survives 10 years without food",FAKE
"Flying cars available for everyone tomorrow",FAKE
"Ocean turns into orange juice overnight",FAKE
